platform,scenario,working_set,method,n_runs,median_jresp_us,ci95_low_us,ci95_high_us,minimum_us,maximum_us,interval_status
RK3568,stress,2M,SP,1,77.33,,,77.33,77.33,not shown (single run; n<5)
RK3568,stress,4M,SP,1,142.67,,,142.67,142.67,not shown (single run; n<5)
RK3568,stress,8M,SP,1,157.5,,,157.5,157.5,not shown (single run; n<5)
RK3568,stress,16M,SP,1,54.96,,,54.96,54.96,not shown (single run; n<5)
RK3568,stress,32M,SP,1,104.71,,,104.71,104.71,not shown (single run; n<5)
RK3568,stress,64M,SP,1,62.63,,,62.63,62.63,not shown (single run; n<5)
RK3568,stress,128M,SP,1,84.54,,,84.54,84.54,not shown (single run; n<5)
RK3568,stress,256M,SP,1,65.71,,,65.71,65.71,not shown (single run; n<5)
RK3568,stress,128K,C3,1,19.33,,,19.33,19.33,not shown (single run; n<5)
RK3568,stress,256K,C3,1,20.08,,,20.08,20.08,not shown (single run; n<5)
RK3568,stress,512K,C3,1,20.58,,,20.58,20.58,not shown (single run; n<5)
RK3568,stress,1M,C3,1,28.21,,,28.21,28.21,not shown (single run; n<5)
RK3568,stress,2M,C3,1,31.33,,,31.33,31.33,not shown (single run; n<5)
RK3568,stress,4M,C3,1,31.63,,,31.63,31.63,not shown (single run; n<5)
RK3568,stress,8M,C3,1,36.29,,,36.29,36.29,not shown (single run; n<5)
RK3568,stress,16M,C3,1,27.21,,,27.21,27.21,not shown (single run; n<5)
RK3568,stress,32M,C3,1,31.46,,,31.46,31.46,not shown (single run; n<5)
RK3568,stress,64M,C3,1,24.13,,,24.13,24.13,not shown (single run; n<5)
RK3568,stress,128M,C3,1,30.08,,,30.08,30.08,not shown (single run; n<5)
RK3568,stress,256M,C3,1,28.04,,,28.04,28.04,not shown (single run; n<5)
