bit,stimulus_items,variant,median_mean_cycles,min_mean_cycles,max_mean_cycles,passes
3,1,cross_probe_only_flipped,27.0,27.0,28.0,5
3,1,same_original_matching,29.0,28.0,31.0,5
3,1,same_probe_only_flipped,27.0,27.0,28.0,5
3,2,cross_original_matching,27.0,27.0,28.0,5
3,2,cross_probe_only_flipped,27.0,27.0,28.0,5
3,2,same_original_matching,30.0,29.0,51.0,5
3,2,same_probe_only_flipped,47.0,43.0,48.0,5
3,3,cross_original_matching,27.0,27.0,27.0,5
3,3,cross_probe_only_flipped,27.0,27.0,27.0,5
3,3,same_original_matching,49.0,47.0,50.0,5
3,3,same_probe_only_flipped,52.0,52.0,54.0,5
3,4,cross_original_matching,27.0,27.0,27.0,5
3,4,cross_probe_only_flipped,27.0,27.0,28.0,5
3,4,same_original_matching,51.0,49.0,55.0,5
3,4,same_probe_only_flipped,62.0,54.0,66.0,5
3,5,cross_original_matching,27.0,27.0,28.0,5
3,5,cross_probe_only_flipped,27.0,27.0,28.0,5
3,5,same_original_matching,52.0,50.0,66.0,5
3,5,same_probe_only_flipped,63.0,58.0,83.0,5
3,6,cross_original_matching,28.0,27.0,29.0,5
3,6,cross_probe_only_flipped,29.0,27.0,30.0,5
3,6,same_original_matching,68.0,63.0,98.0,5
3,6,same_probe_only_flipped,142.0,131.0,152.0,5
3,7,cross_original_matching,33.0,27.0,35.0,5
3,7,cross_probe_only_flipped,29.0,27.0,38.0,5
3,7,same_original_matching,270.0,243.0,284.0,5
3,7,same_probe_only_flipped,256.0,241.0,264.0,5
3,8,cross_original_matching,38.0,31.0,44.0,5
3,8,cross_probe_only_flipped,38.0,27.0,47.0,5
3,8,same_original_matching,286.0,258.0,288.0,5
3,8,same_probe_only_flipped,288.0,270.0,296.0,5
3,9,cross_original_matching,47.0,33.0,76.0,5
3,9,cross_probe_only_flipped,33.0,31.0,85.0,5
3,9,same_original_matching,282.0,266.0,298.0,5
3,9,same_probe_only_flipped,282.0,273.0,293.0,5
3,10,cross_original_matching,50.0,36.0,98.0,5
3,10,cross_probe_only_flipped,62.0,31.0,79.0,5
3,10,same_original_matching,290.0,265.0,299.0,5
3,10,same_probe_only_flipped,285.0,276.0,308.0,5
3,11,cross_original_matching,57.0,33.0,113.0,5
3,11,cross_probe_only_flipped,63.0,31.0,100.0,5
3,11,same_original_matching,284.0,280.0,288.0,5
3,11,same_probe_only_flipped,299.0,270.0,303.0,5
3,12,cross_original_matching,76.0,45.0,117.0,5
3,12,cross_probe_only_flipped,66.0,35.0,87.0,5
3,12,same_original_matching,307.0,289.0,329.0,5
3,12,same_probe_only_flipped,313.0,299.0,343.0,5
3,13,cross_original_matching,60.0,45.0,138.0,5
3,13,cross_probe_only_flipped,61.0,36.0,115.0,5
3,13,same_original_matching,336.0,336.0,348.0,5
3,13,same_probe_only_flipped,354.0,335.0,373.0,5
3,14,cross_original_matching,176.0,108.0,260.0,5
3,14,cross_probe_only_flipped,203.0,132.0,240.0,5
3,14,same_original_matching,350.0,337.0,392.0,5
3,14,same_probe_only_flipped,353.0,329.0,366.0,5
3,15,cross_original_matching,240.0,215.0,269.0,5
3,15,cross_probe_only_flipped,250.0,189.0,261.0,5
3,15,same_original_matching,368.0,329.0,443.0,5
3,15,same_probe_only_flipped,337.0,319.0,400.0,5
3,16,cross_original_matching,282.0,268.0,315.0,5
3,16,cross_probe_only_flipped,295.0,291.0,306.0,5
3,16,same_original_matching,375.0,335.0,441.0,5
3,16,same_probe_only_flipped,342.0,330.0,383.0,5
3,17,cross_original_matching,311.0,274.0,331.0,5
3,17,cross_probe_only_flipped,288.0,278.0,305.0,5
3,17,same_original_matching,381.0,354.0,491.0,5
3,17,same_probe_only_flipped,356.0,336.0,463.0,5
3,18,cross_original_matching,290.0,284.0,297.0,5
3,18,cross_probe_only_flipped,288.0,284.0,299.0,5
3,18,same_original_matching,506.0,399.0,558.0,5
3,18,same_probe_only_flipped,477.0,400.0,493.0,5
3,19,cross_original_matching,302.0,290.0,303.0,5
3,19,cross_probe_only_flipped,296.0,281.0,315.0,5
3,19,same_original_matching,527.0,415.0,533.0,5
3,19,same_probe_only_flipped,517.0,383.0,520.0,5
3,20,cross_original_matching,298.0,281.0,305.0,5
3,20,cross_probe_only_flipped,301.0,292.0,319.0,5
3,20,same_original_matching,540.0,507.0,556.0,5
3,20,same_probe_only_flipped,495.0,487.0,512.0,5
4,0,cross_original_matching,27.0,27.0,28.0,5
4,0,cross_probe_only_flipped,27.0,27.0,27.0,5
4,0,same_original_matching,28.0,28.0,31.0,5
4,0,same_probe_only_flipped,27.0,27.0,27.0,5
4,1,cross_original_matching,27.0,27.0,27.0,5
4,1,cross_probe_only_flipped,27.0,27.0,28.0,5
4,1,same_original_matching,29.0,28.0,30.0,5
4,1,same_probe_only_flipped,27.0,27.0,30.0,5
4,2,cross_original_matching,27.0,27.0,27.0,5
4,2,cross_probe_only_flipped,27.0,27.0,28.0,5
4,2,same_original_matching,32.0,28.0,36.0,5
4,2,same_probe_only_flipped,46.0,43.0,49.0,5
4,3,cross_original_matching,27.0,27.0,28.0,5
4,3,cross_probe_only_flipped,27.0,27.0,27.0,5
4,3,same_original_matching,48.0,48.0,49.0,5
4,3,same_probe_only_flipped,54.0,53.0,56.0,5
4,4,cross_original_matching,27.0,27.0,27.0,5
4,4,cross_probe_only_flipped,28.0,27.0,28.0,5
4,4,same_original_matching,50.0,48.0,55.0,5
4,4,same_probe_only_flipped,55.0,53.0,57.0,5
4,5,cross_original_matching,28.0,27.0,28.0,5
4,5,cross_probe_only_flipped,27.0,27.0,28.0,5
4,5,same_original_matching,54.0,49.0,58.0,5
4,5,same_probe_only_flipped,56.0,50.0,62.0,5
4,6,cross_original_matching,28.0,28.0,29.0,5
4,6,cross_probe_only_flipped,28.0,27.0,29.0,5
4,6,same_original_matching,70.0,66.0,77.0,5
4,6,same_probe_only_flipped,137.0,126.0,152.0,5
4,7,cross_original_matching,33.0,27.0,37.0,5
4,7,cross_probe_only_flipped,30.0,27.0,34.0,5
4,7,same_original_matching,268.0,259.0,280.0,5
4,7,same_probe_only_flipped,257.0,245.0,264.0,5
4,8,cross_original_matching,33.0,30.0,51.0,5
4,8,cross_probe_only_flipped,36.0,32.0,45.0,5
4,8,same_original_matching,283.0,271.0,294.0,5
4,8,same_probe_only_flipped,285.0,269.0,300.0,5
4,9,cross_original_matching,44.0,36.0,61.0,5
4,9,cross_probe_only_flipped,36.0,33.0,60.0,5
4,9,same_original_matching,292.0,270.0,298.0,5
4,9,same_probe_only_flipped,285.0,279.0,306.0,5
4,10,cross_original_matching,48.0,32.0,89.0,5
4,10,cross_probe_only_flipped,49.0,31.0,88.0,5
4,10,same_original_matching,275.0,270.0,295.0,5
4,10,same_probe_only_flipped,283.0,275.0,298.0,5
4,11,cross_original_matching,58.0,39.0,115.0,5
4,11,cross_probe_only_flipped,56.0,37.0,99.0,5
4,11,same_original_matching,290.0,275.0,303.0,5
4,11,same_probe_only_flipped,287.0,267.0,305.0,5
4,12,cross_original_matching,64.0,43.0,93.0,5
4,12,cross_probe_only_flipped,57.0,41.0,87.0,5
4,12,same_original_matching,304.0,288.0,327.0,5
4,12,same_probe_only_flipped,319.0,285.0,344.0,5
4,13,cross_original_matching,63.0,46.0,116.0,5
4,13,cross_probe_only_flipped,51.0,50.0,111.0,5
4,13,same_original_matching,341.0,308.0,351.0,5
4,13,same_probe_only_flipped,325.0,319.0,354.0,5
4,14,cross_original_matching,162.0,137.0,256.0,5
4,14,cross_probe_only_flipped,194.0,133.0,255.0,5
4,14,same_original_matching,346.0,331.0,378.0,5
4,14,same_probe_only_flipped,337.0,332.0,351.0,5
4,15,cross_original_matching,245.0,203.0,286.0,5
4,15,cross_probe_only_flipped,234.0,196.0,264.0,5
4,15,same_original_matching,370.0,345.0,436.0,5
4,15,same_probe_only_flipped,351.0,332.0,389.0,5
4,16,cross_original_matching,287.0,280.0,303.0,5
